PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
352	534	528	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	29	Trewman’s Exeter Flying Post	1815.06.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
309	450	446	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	29	Trewman’s Exeter Flying Post	1815.06.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
425	620	609	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
220	327	325	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
249	425	406	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
628	884	882	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
398	631	617	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
833	1119	1112	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
620	936	924	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	22	Trewman’s Exeter Flying Post	1815.06.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
460	649	620	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	22	Trewman’s Exeter Flying Post	1815.06.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
337	532	512	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	29	Trewman’s Exeter Flying Post	1815.06.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
473	739	712	1815	07	13	Trewman’s Exeter Flying Post	1815.07.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	29	Trewman’s Exeter Flying Post	1815.06.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
234	333	328	1815	07	14	Liverpool Mercury	1815.07.14_LiverpoolMercuryetc_0004	1815	06	30	Liverpool Mercury	1815.06.30_LiverpoolMercuryetc_0004
302	475	476	1815	07	14	Morning Chronicle	1815.07.14_TheMorningChronicle_0001	1815	06	30	Morning Chronicle	1815.06.30_TheMorningChronicle_0001
610	932	929	1815	07	15	Jackson’s Oxford Journal	1815.07.15_Jackson'sOxfordJournal_0004	1815	06	03	Jackson’s Oxford Journal	1815.06.03_Jackson'sOxfordJournal_0004
654	1007	1028	1815	07	15	Jackson’s Oxford Journal	1815.07.15_Jackson'sOxfordJournal_0004	1815	06	10	Jackson’s Oxford Journal	1815.06.10_Jackson'sOxfordJournal_0004
655	996	1000	1815	07	15	Jackson’s Oxford Journal	1815.07.15_Jackson'sOxfordJournal_0004	1815	06	17	Jackson’s Oxford Journal	1815.06.17_Jackson'sOxfordJournal_0004
721	1170	1181	1815	07	15	Jackson’s Oxford Journal	1815.07.15_Jackson'sOxfordJournal_0004	1815	06	24	Jackson’s Oxford Journal	1815.06.24_Jackson'sOxfordJournal_0004
207	337	338	1815	07	17	Caledonian Mercury	1815.07.17_CaledonianMercury_0001	1815	06	05	Caledonian Mercury	1815.06.05_CaledonianMercury_0001
307	474	491	1815	07	17	Caledonian Mercury	1815.07.17_CaledonianMercury_0001	1815	06	12	Caledonian Mercury	1815.06.12_CaledonianMercury_0001
250	378	382	1815	07	17	Caledonian Mercury	1815.07.17_CaledonianMercury_0001	1815	06	12	Caledonian Mercury	1815.06.12_CaledonianMercury_0004
543	822	823	1815	07	17	Caledonian Mercury	1815.07.17_CaledonianMercury_0001	1815	06	17	Caledonian Mercury	1815.06.17_CaledonianMercury_0001
216	376	370	1815	07	18	Hull Packet	1815.07.18_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002	1815	06	20	Hull Packet	1815.06.20_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002
333	544	549	1815	07	20	Caledonian Mercury	1815.07.20_CaledonianMercury_0001	1815	06	29	Caledonian Mercury	1815.06.29_CaledonianMercury_0001
371	529	535	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
281	396	387	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001	1815	06	22	Trewman’s Exeter Flying Post	1815.06.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
254	359	360	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001	1815	06	22	Trewman’s Exeter Flying Post	1815.06.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
224	311	308	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
203	300	299	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
398	575	568	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
683	966	952	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
541	713	724	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
248	351	359	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	15	Trewman’s Exeter Flying Post	1815.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
772	1037	1024	1815	07	20	Trewman’s Exeter Flying Post	1815.07.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	22	Trewman’s Exeter Flying Post	1815.06.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
